Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
690	0,819077	0,081741	0,083267	0,050247	0,037735	0,048386	0,064026	0,051743
691	0,817154	0,077728	0,079163	0,048187	0,036301	0,046768	0,061401	0,050003
692	0,815338	0,074036	0,075333	0,046249	0,034943	0,045258	0,058899	0,048477
693	0,813614	0,070435	0,071701	0,044464	0,033646	0,043732	0,056519	0,046951
694	0,811981	0,067017	0,068283	0,04274	0,032394	0,042282	0,054245	0,045502
695	0,810471	0,063889	0,065018	0,041031	0,03125	0,040924	0,052078	0,044144
696	0,80899	0,060883	0,06192	0,039474	0,030136	0,039581	0,050034	0,042786
697	0,807617	0,058044	0,059021	0,037949	0,029053	0,038269	0,048096	0,041519
698	0,806305	0,055389	0,056274	0,036514	0,02803	0,037079	0,046234	0,040359
699	0,805069	0,052841	0,05365	0,03511	0,027008	0,035904	0,044434	0,039108
700	0,803925	0,050446	0,051208	0,033829	0,026123	0,034775	0,042755	0,038025
701	0,80278	0,048096	0,048859	0,032516	0,025177	0,033676	0,041107	0,036942
702	0,801788	0,045929	0,046707	0,031357	0,024323	0,032669	0,039566	0,035934
703	0,800827	0,043915	0,044632	0,030243	0,023483	0,031662	0,038101	0,034927
704	0,799789	0,041885	0,042542	0,029083	0,022629	0,030655	0,036591	0,033875
705	0,798843	0,039917	0,040588	0,027954	0,021851	0,029663	0,035156	0,032928
706	0,797882	0,038101	0,038803	0,026871	0,021103	0,028702	0,033798	0,031982
707	0,797073	0,036423	0,03714	0,025955	0,02037	0,027863	0,032578	0,031143
708	0,796204	0,034683	0,035416	0,024918	0,019638	0,026917	0,031265	0,030212
709	0,795456	0,033127	0,033859	0,023987	0,018936	0,026047	0,030106	0,029404
710	0,794708	0,031677	0,032379	0,023132	0,018295	0,025253	0,029007	0,02861
711	0,793976	0,030258	0,031036	0,022308	0,017685	0,024551	0,027924	0,027878
712	0,793213	0,0289	0,029678	0,021408	0,01709	0,023712	0,026871	0,027115
713	0,792542	0,027664	0,028458	0,02066	0,016541	0,02301	0,025879	0,026367
714	0,791794	0,026413	0,027222	0,019836	0,0159	0,022247	0,024872	0,025711
